Division,Action Items,Deliverables
PRS SUPPORTED BY EPM,Feeder Nomenclature,Updated name of feeders and assets - TCN
PRS SUPPORTED BY EPM,Feeder Nomenclature,Updated name of feeders and assets - DisCos
PRS SUPPORTED BY EPM,Feeder Nomenclature,Hosting of centralised NESI asset database - NERC/UKNAIF
PRS SUPPORTED BY EPM,Feeder Nomenclature,Issunace of NESI nomenclature order (for go-forward) - NERC
PRS,Strategic plan implementation,Refined MS project reporting process
PRS,Strategic plan implementation,Weighting of deliverables to drive independent assesment of progress
PRS,Strategic plan implementation,Quartely Commission Progress update
PRS,Strategic plan implementation,End of year performance appraisal
PRS,Strategic plan implementation,Peer review workshop
PRS,Strategic plan implementation,2024 - 2026 strategic plan with a clear M&E framework
PRS SUPPORTED BY EPM,General Analytical support ,Framework for dealing with DisCo insecurity claims
PRS SUPPORTED BY EPM,General Analytical support ,Energy situation room report (support EPM)
PRS SUPPORTED BY EPM,General Analytical support ,SBT situation room report (support EPM)
PRS SUPPORTED BY CA,General Analytical support ,Implementation of Capping Regulation (support CA)
PRS SUPPORTED BY CO,General Analytical support ,Analytics component for the public information (support CO)
PRS,DAP II - Microsoft 365 + IoT based data acquisition,Web forms for data collection
PRS,DAP II - Microsoft 365 + IoT based data acquisition,Automated Dashboard
PRS,DAP II - Microsoft 365 + IoT based data acquisition,Operationalisation of Intranet System (Mini-ERP)
PRS,DAP II - Microsoft 365 + IoT based data acquisition,Publishing and hosting of real-time grid performance on NERC website - GenCos IoT
PRS,DAP II - Microsoft 365 + IoT based data acquisition,Publishing and hosting of real-time DisCo load offtake performance on NERC website - TCN 33kV IoT
PRS,DAP II - Microsoft 365 + IoT based data acquisition,Publishing and hosting of real-time grid performance on NERC website - Captive and Offgrid GenCos
EPM,Metering for all within 3 years,Implement MOU with NINAS for accreditation of Meter Test Laboratories across the country. Monthly status report.
EPM,Sustained growth in availability and quality of supply,"Ensure the establishment of a comprehensive scope for SCADA/EMS, covering the World Bank & TCN’s IGR scope of work. Monthly status report on the deployment of SCADA in NESI"
EPM,Sustained growth in availability and quality of supply,Ensure the SO implements the functionality test for power plants in accordance with the Grid Code. Quarterly compliance reporting.
EPM,Sustained growth in availability and quality of supply,Develop a database and monitor GenCos’ 5-year capacity recovery and expansion plans.  Quarterly report on the ramp-up of power generation trajectories
EPM,Sustained growth in availability and quality of supply,Develop guidelines and track relay coordination programs across GX /TX/DX interface. Quarterly report on compliance with relay coordination program in NESI
EPM,Sustained growth in availability and quality of supply,"Study Harmonics and its effect on ATC&C losses, power quality, and system reliability. Quarterly report"
EPM,Effective compliance monitoring and enforcement,Ensure the SO establishes a coordinated maintenance schedule across the subsectors of the NESI. NESI maintenance database. Quarterly compliance report
